id;name;description
1;Bedfordshire Coordinator;seize program Generic Granite Keyboard
2;harness Division Principa;Tasty Soft Mouse
3;online Savings Account ab;synthesizing bypass
4;transmit District Kazakhs;Buckinghamshire Pants Ergonomic Wooden Sausages
5;Producer;green
6;Rhode Island 5th generati;Cambridgeshire SCSI Bacon
7;Industrial deposit value-;copying integrated neural
8;Djibouti Franc Fish Chips;knowledge base Fantastic
9;matrices circuit Streamli;quantifying Ergonomic Investment Account
10;Avon connecting;Virtual models
