id;title;sequence_no;start_time;end_time;start_date;end_date;recurrence;interval;grace_period;image_path;created_date;last_modified_date
1;Generic Wooden Keyboard M;72066;45054;84569;2020-05-22T18:14:18;2020-05-23T05:50:08;44084;53650;39104;repurpose;2020-05-22T15:12:51;2020-05-23T04:47:01
2;Awesome Metal Salad Auto ;5601;60068;39516;2020-05-22T14:49:15;2020-05-22T09:14:37;11585;3449;22957;fuchsia Frozen;2020-05-22T17:10:47;2020-05-23T04:34:15
3;Holy See (Vatican City St;70830;84220;38562;2020-05-23T01:30:03;2020-05-22T15:26:40;61234;4843;49423;deposit web services New Zealand Dollar;2020-05-22T19:24:46;2020-05-22T10:57:16
4;Bedfordshire;45682;10866;28923;2020-05-22T11:00:42;2020-05-22T17:36:53;30774;79413;90932;Consultant Home Loan Account;2020-05-22T14:09:43;2020-05-23T03:41:42
5;circuit;83015;33514;66861;2020-05-22T18:12:57;2020-05-23T05:59:44;36238;32922;48552;auxiliary;2020-05-22T15:31:15;2020-05-23T03:48:29
6;back-end teal;98569;11178;39980;2020-05-22T07:57:13;2020-05-22T16:44:14;21462;50372;75385;Home Loan Account IB Sleek;2020-05-22T18:39:18;2020-05-23T04:40:31
7;Synergistic cross-platfor;24452;33439;63499;2020-05-22T07:11:45;2020-05-22T07:21:28;48815;85434;73280;Intelligent SCSI;2020-05-23T01:27:22;2020-05-22T11:06:46
8;encryption;87373;50887;21494;2020-05-22T22:44:01;2020-05-22T20:08:17;21206;20292;9175;sticky;2020-05-22T21:15:04;2020-05-23T02:23:23
9;Cotton;31924;33653;86936;2020-05-22T16:13:21;2020-05-22T18:23:52;87419;12077;13906;New Jersey bypassing Assurance;2020-05-23T01:24:08;2020-05-22T15:52:55
10;Coordinator Indiana Repre;73844;70909;87450;2020-05-22T14:54:05;2020-05-23T04:05:30;25668;73638;61557;Steel;2020-05-23T04:45:05;2020-05-22T14:46:16
