id;title;sequence_no;parent_category;image_path;created_date;last_modified_date
1;Automotive;6085;53056;Borders;2020-05-22T07:30:06;2020-05-22T11:30:44
2;Nepalese Rupee Forint com;32528;60553;interactive scalable;2020-05-22T07:31:07;2020-05-22T03:21:16
3;value-added Grenada bypas;50578;95398;Naira overriding Frozen;2020-05-22T05:57:26;2020-05-22T10:04:18
4;Colorado Danish Krone;50879;6249;Directives;2020-05-22T18:48:12;2020-05-22T05:37:45
5;Tactics deploy;9748;97587;Personal Loan Account deposit Minnesota;2020-05-22T10:01:28;2020-05-22T08:25:21
6;Russian Ruble;23542;76356;unleash Lek;2020-05-22T19:00:16;2020-05-22T14:56:31
7;calculating;21165;64180;Research Bedfordshire;2020-05-22T04:29:08;2020-05-22T05:40:25
8;Belarus connecting Manage;60053;59544;copy Metal calculating;2020-05-22T10:07:28;2020-05-22T19:59:17
9;quantifying Internal Baby;83447;83808;Applications Coordinator;2020-05-22T09:21:26;2020-05-22T05:48:49
10;Center;82053;70848;Hong Kong morph leverage;2020-05-22T04:18:30;2020-05-22T20:14:27
