id;from_date;thru_date;start_time;end_time;start_date;end_date;recurrence;interval;grace_period;created_date;last_modified_date
1;2020-05-22T10:40:28;2020-05-22T19:07:49;12222;35609;2020-05-22T11:14:59;2020-05-22T14:42:14;38625;13727;43832;2020-05-23T00:09:35;2020-05-22T18:45:16
2;2020-05-23T05:14:53;2020-05-22T14:11:05;16215;46532;2020-05-22T08:23:10;2020-05-22T15:39:16;80340;19998;28528;2020-05-22T08:37:40;2020-05-22T10:58:10
3;2020-05-22T21:59:53;2020-05-23T05:22:34;43178;75865;2020-05-22T06:29:50;2020-05-22T07:21:32;5954;3165;98000;2020-05-23T06:09:00;2020-05-22T06:12:55
4;2020-05-22T20:07:55;2020-05-22T17:06:00;40270;85768;2020-05-23T00:45:37;2020-05-22T07:39:06;37378;99338;36841;2020-05-22T12:50:21;2020-05-22T20:40:46
5;2020-05-22T18:29:54;2020-05-22T08:29:56;20936;38477;2020-05-22T08:45:50;2020-05-22T09:12:21;32713;1063;14793;2020-05-22T07:31:19;2020-05-22T07:20:40
6;2020-05-23T04:05:47;2020-05-23T01:39:43;64096;88306;2020-05-22T08:48:43;2020-05-22T09:25:20;48477;23858;36347;2020-05-22T08:28:54;2020-05-22T11:12:31
7;2020-05-22T07:06:09;2020-05-22T08:49:33;55272;83644;2020-05-22T17:47:53;2020-05-23T04:14:57;21347;72169;96544;2020-05-22T09:33:18;2020-05-22T12:38:08
8;2020-05-22T15:40:27;2020-05-23T03:24:22;17823;92069;2020-05-22T08:05:45;2020-05-22T11:57:52;33795;1337;23619;2020-05-23T00:25:57;2020-05-22T14:31:17
9;2020-05-23T01:41:38;2020-05-22T15:35:39;9695;76797;2020-05-22T16:35:20;2020-05-22T18:36:23;97623;5748;68696;2020-05-23T01:53:52;2020-05-22T23:00:35
10;2020-05-22T21:48:07;2020-05-22T11:16:14;12497;890;2020-05-22T21:33:46;2020-05-23T00:16:17;65279;40352;1548;2020-05-22T08:28:44;2020-05-22T13:01:06
