id;from_date;thru_date;created_date;last_modified_date
1;2020-05-22T14:35:58;2020-05-22T11:49:16;2020-05-22T08:29:57;2020-05-22T04:42:45
2;2020-05-22T13:35:03;2020-05-22T02:37:05;2020-05-22T14:34:28;2020-05-22T20:48:51
3;2020-05-21T22:27:11;2020-05-22T07:24:13;2020-05-22T03:33:49;2020-05-21T23:09:55
4;2020-05-21T23:10:53;2020-05-22T00:14:13;2020-05-22T09:01:21;2020-05-22T03:06:36
5;2020-05-22T17:02:24;2020-05-22T00:46:30;2020-05-22T14:06:18;2020-05-21T23:18:36
6;2020-05-22T03:18:22;2020-05-22T02:54:16;2020-05-22T03:29:33;2020-05-22T06:57:48
7;2020-05-22T19:59:47;2020-05-22T16:15:41;2020-05-22T01:12:06;2020-05-22T18:40:11
8;2020-05-22T00:24:30;2020-05-22T05:50:20;2020-05-22T02:57:36;2020-05-21T22:24:48
9;2020-05-22T04:53:11;2020-05-22T02:45:26;2020-05-22T16:59:58;2020-05-22T05:02:50
10;2020-05-22T03:37:02;2020-05-22T14:02:43;2020-05-22T21:58:31;2020-05-22T11:51:45
