id;name;sequence_no;description;type
1;Tennessee TCP indigo;47367;Soap;Steel
2;Generic SMS withdrawal;24694;Savings Account Soap Associate;Libyan Arab Jamahiriya
3;SSL;85471;Sri Lanka Agent;firmware Intranet AI
4;bus;41817;pixel;Robust
5;digital;32655;fresh-thinking Fiji Dollar;transmit Steel
6;firewall Vanuatu syndicat;18994;Granite;cyan Health
7;integrated Garden primary;984;Cotton;navigate Home Tenge
8;Small Steel Keyboard Sout;90060;Rubber Handcrafted;bandwidth District Bedfor
9;silver Central Rufiyaa;37857;Salad definition drive;extensible Shoes
10;Personal Loan Account ind;34235;Malta blue Investment Account;azure web services
